,0.05,0.25,0.5,0.75,0.95,invest_amount
176,246195980890,383734191332,516954956809,687093737114,1046982707836,1587
177,271898457751,424505504160,571971936747,761929776811,1161666282741,1587
178,300122547011,468461281114,633286377371,842934264494,1287849713344,1587
179,332598683224,519047965611,701778102601,934261842503,1430351623074,1587
180,367077886533,574569137726,777090249151,1037255171947,1593459399852,1674
181,404873119958,634638693324,860696457801,1147196066474,1774991198984,1674
182,446259996005,702967247756,953759147000,1271905446479,1966461007321,1674
183,495385352249,776421410813,1056896867994,1414096460628,2182266648398,1674
184,546729267516,859128713828,1169008737690,1568191549532,2415426178874,1674
185,604073689562,951091862929,1294756382571,1737099340271,2681520355967,1674
186,668590664084,1051431426335,1436030843450,1928532708794,2980365708031,1674
187,736689603582,1162898479260,1591840390555,2140440696200,3305827458498,1674
188,813746433998,1288581769644,1764506488451,2365413400345,3677323968426,1674
189,901314766180,1428269543430,1953578589662,2627672510474,4082651466043,1674
190,994917030303,1582259909980,2163042480801,2903452968823,4523475578683,1674
191,1104101975318,1747529424924,2399677553997,3224976824112,5013529982996,1674
192,1218065501322,1934947044607,2656617982333,3572634947083,5554447608303,1766
193,1347694679782,2140772809715,2934537681952,3968745565419,6174622138102,1766
194,1488541354550,2370540650063,3250949495174,4398329951741,6853085800970,1766
195,1647872269495,2620884635342,3607895426407,4875454788803,7554612369591,1766
196,1810193392209,2898645147861,3993327860311,5416980447363,8392939964501,1766
197,2003532279954,3215584541905,4405285900052,5998235563226,9357109517498,1766
198,2216423201332,3562568177787,4880881828774,6651313267189,10416889652038,1766
199,2462539658568,3937151791221,5418485111882,7354340240422,11501909978112,1766
200,2704638523506,4350238060909,6009883906183,8159156520721,12762618600225,1766
201,2987190986192,4817205845351,6652958116787,9042894221152,14191508344018,1766
202,3307598256202,5342953203428,7365828238557,10023440169003,15745224536450,1766
203,3632583278922,5908340417389,8150622027823,11105074605013,17525901005358,1766
204,4035027538646,6543607790206,8995417930430,12319395047512,19430763106123,1863
205,4451707368478,7244631540381,9968878691194,13641932054209,21560344812339,1863
206,4922996340767,8021262339974,11055350466032,15109493455649,23859769563386,1863
207,5438241466321,8855294433468,12260463532038,16758210890967,26546868074527,1863
208,6013459081087,9809649255947,13570790337503,18579691325880,29427739648154,1863
209,6640703974949,10882131073856,15024511371210,20655790205113,32737517925569,1863
210,7334089464389,12013035399231,16638900687175,22900311220010,36291980505642,1863
211,8125427839063,13294067268056,18434305808227,25371896418978,40189858814143,1863
212,8977790406405,14695115733131,20390264678531,28076575244760,44728260891976,1863
213,9919465416563,16297597630860,22597372733596,31150268827451,49748807581568,1863
214,10964138237183,18014158182874,25042435222550,34541165438391,55344597521598,1863
215,12158535823619,19892630570513,27707042924911,38310372053659,61279103413598,1863
216,13424952258662,22066251451640,30692646093028,42399924161978,67899103360084,1966
217,14827279610925,24428861297887,33979215222106,46882472431238,75630165101792,1966
218,16401799017329,26973894043122,37676118239410,51977692524490,84054153851717,1966
219,18128767026201,29899351889765,41691740023293,57620950596918,93260222925222,1966
220,20040570985392,33106750766049,46170111771497,63923565292395,103640222288305,1966
221,22090228675594,36619440854240,51219177347171,70810753192612,114499955962871,1966
222,24314095308007,40604975374655,56767319398906,78353516158754,126839882888181,1966
223,26940535743841,44832525508307,62737484820512,87013801330603,140824072010900,1966
